x,y,z,Unnamed: 3
1500.612793,1492.900269,4.700963,
1501.258423,1492.823242,98.18103,
1501.496216,1495.348145,192.654648,
1.261348,1498.210083,281.705872,
0.166664,1500.354858,372.895935,
1501.330566,0.122268,468.706268,
1501.403687,1.999073,561.779968,
0.018081,3.048286,652.677917,
1500.619385,0.674175,744.714233,
0.494443,1501.357422,838.703064,
0.091835,1501.694336,931.051758,
1500.996094,1499.879395,1027.569702,
1500.742798,1497.472412,1128.947998,
1499.348267,1495.542114,1225.570435,
1498.142212,1493.789307,1319.199829,
1499.443359,1493.023804,1413.680176,
0.045649,89.179749,5.138479,
0.582877,89.993195,99.091324,
1500.587158,90.492287,194.170013,
0.103113,92.101822,284.578003,
1500.487427,94.564903,374.6539,
1498.760498,95.000626,469.385101,
1498.830322,95.486839,563.303589,
1501.342651,95.133644,651.698853,
1501.663574,96.252853,743.54364,
0.888099,97.053772,839.320984,
1.026657,97.196442,931.44165,
1501.185913,98.173157,1026.739502,
1501.391724,96.384064,1125.588013,
1501.207642,91.674156,1221.962646,
1500.526733,89.032242,1318.100342,
1500.975342,88.663635,1414.007935,
1501.677856,185.988617,4.997951,
0.453269,185.480392,99.663109,
1500.898804,185.984863,194.739822,
0.602747,185.536606,285.92865,
1500.658203,186.809418,376.175354,
1498.691772,188.081314,469.889374,
1499.837769,189.032608,562.927429,
0.301821,190.335129,653.407043,
0.284099,193.06781,746.3302,
1.623855,192.835083,838.041992,
0.493189,191.382553,931.497803,
1500.619385,191.178131,1026.889404,
1500.365601,189.989807,1122.717896,
1501.003784,188.869156,1219.192139,
1500.726685,187.759979,1316.540039,
1500.750488,186.490768,1413.772339,
1500.81311,282.723724,5.1673,
1500.962036,283.514648,99.084702,
1501.309082,280.005554,192.772064,
0.454701,278.117828,285.798889,
1499.437256,278.151855,377.258057,
1498.900269,280.055145,472.080902,
1499.569092,283.400604,565.612366,
1500.254639,285.049347,654.186096,
1500.807373,284.240723,746.679443,
1.260453,284.589966,837.333191,
1.257051,284.894653,931.273926,
0.732176,284.373566,1025.585449,
1501.47229,282.9375,1121.911621,
1500.775513,283.532013,1219.487549,
1500.696411,282.571198,1315.25,
1501.178345,281.883972,1413.240723,
1499.709473,379.379761,7.202177,
1498.399658,378.841278,96.891403,
1499.457275,375.86441,189.152191,
1499.762329,374.080688,284.773285,
1499.125366,373.664825,378.238525,
1498.074341,374.291901,473.703857,
1497.827271,373.237152,567.358093,
1499.378174,375.831787,655.429382,
1501.380981,376.955688,746.538391,
2.827023,377.406097,837.989624,
3.201345,377.544647,931.322815,
3.071559,378.427734,1025.441162,
0.730565,379.882599,1122.296509,
1500.423584,379.494476,1218.597534,
1499.658813,378.296875,1313.800781,
1501.062012,378.04068,1413.977051,
1498.576904,471.298615,7.02316,
1496.63916,470.369171,95.003136,
1497.810425,471.322235,188.87149,
1497.552124,470.914246,283.16214,
1498.905518,468.648987,377.513672,
1499.433228,466.829498,471.796265,
1500.379272,465.540741,567.269653,
1500.439697,465.411316,657.7901,
0.102039,467.023163,747.224243,
2.091624,468.830322,839.375793,
2.505331,470.245605,931.673279,
1.984394,470.731842,1027.506836,
1499.938232,471.72287,1122.472656,
1497.59729,471.929657,1218.921143,
1497.81897,473.826508,1313.868042,
1499.08374,472.638214,1413.236694,
1496.965454,562.191345,6.559867,
1495.464355,564.687561,97.145782,
1496.93103,566.374451,189.219147,
1497.427612,564.985962,281.360352,
1498.631348,564.738892,376.039825,
1500.135742,563.920837,470.911224,
1500.996582,562.607056,565.438354,
1.151253,561.148926,657.976257,
1.103992,562.234497,749.179993,
1.197618,562.033447,840.36145,
1501.62561,561.638184,931.794312,
1499.960083,562.201172,1027.880127,
1496.816284,563.558716,1123.537476,
1495.26062,564.564026,1219.613525,
1496.233521,563.745728,1314.165283,
1497.401733,563.16394,1411.540405,
1495.707275,654.924561,6.830718,
1495.46521,655.058105,99.591141,
1496.930176,656.652039,189.47316,
1499.236084,659.616577,282.466675,
1499.294556,660.224365,375.508698,
1499.348022,658.94458,469.698547,
1501.010864,657.96698,564.326843,
0.503572,657.0271,657.54071,
1.023077,656.176086,748.596313,
1500.428589,653.833862,838.095459,
1499.63855,654.639954,933.831848,
1498.902344,658.102844,1029.615112,
1494.723755,658.170288,1124.564575,
1492.130859,658.048401,1219.36792,
1493.122681,657.350952,1312.795776,
1495.99646,656.06366,1410.410278,
1498.131836,749.574158,5.402527,
1497.434326,748.741394,99.904961,
1498.748047,750.772827,193.236099,
1500.480225,753.26416,284.466095,
1501.434448,754.016479,375.24176,
0.825085,754.221619,468.568054,
1.793025,752.133728,562.622742,
2.056716,751.043335,656.860962,
1.592348,749.63501,747.181396,
1500.270264,750.738892,838.525085,
1499.102905,752.442139,936.273621,
1496.86084,751.853394,1030.006104,
1492.403198,750.484619,1122.824219,
1491.894897,748.812012,1218.812988,
1494.675171,749.231384,1313.160156,
1496.833374,750.478149,1409.635864,
1500.263916,845.635315,5.108762,
1500.74292,845.747498,99.957947,
1501.514282,844.963257,194.441391,
1.851385,845.422424,285.247314,
3.20958,845.7276,376.249817,
4.131334,847.454407,468.68103,
4.102512,847.885498,561.169006,
4.166421,845.117615,654.770569,
2.348155,843.685059,747.207397,
1500.778809,845.60144,841.048889,
1498.258301,845.989929,935.271301,
1495.556885,844.347839,1028.524048,
1492.666016,844.323059,1122.571045,
1492.129395,844.811829,1218.110596,
1494.939209,844.159119,1313.913208,
1497.519531,844.654663,1410.44519,
1499.87439,942.006226,5.668366,
0.49122,940.998047,98.74601,
2.32345,939.391541,193.690063,
4.246621,938.26416,285.417206,
5.375854,939.540283,377.431671,
5.439047,940.35321,470.331573,
3.976127,939.585022,559.418945,
4.344005,937.628418,651.923889,
3.310545,935.750916,747.412537,
1501.35083,936.582275,842.641602,
1498.213135,937.6651,934.905945,
1494.556152,937.984863,1028.194824,
