x,y,z,vx,vy,vz
1485.141235,1427.560059,58.375725,-3.493853,-12.948606,10.279254
1494.970459,1427.443726,143.289154,-1.556664,-12.869779,8.248392
1.112406,1445.510132,228.216721,0.329801,-9.554664,5.812908
8.120708,1472.717651,297.999542,0.98195,-5.420403,3.189516
2.23985,1493.540771,368.59491,0.195067,-1.679916,-0.161188
1499.449097,0.822937,456.163513,-0.48805,-0.002288,-2.650559
1500.758911,12.50535,536.170288,-0.419988,1.500259,-5.008247
0.264228,15.881236,612.560608,-0.193545,1.937794,-7.394536
1500.39624,8.6898,695.196533,-0.040502,1.438962,-9.238273
1.318812,5.574383,782.116943,-0.060668,1.085153,-10.41099
1495.70105,2.844566,878.540527,-1.034134,0.561836,-9.544526
1491.879639,1491.670044,1000.460205,-1.805739,-1.206921,-4.905107
1490.225708,1482.838501,1129.849243,-2.132082,-2.377447,-0.106502
1481.267822,1466.98999,1248.557983,-3.633957,-4.794283,3.953736
1473.305054,1447.352173,1362.001831,-5.040817,-8.233953,8.22681
1477.400269,1434.147583,1468.118652,-4.811135,-11.068595,10.60989
1491.532715,54.897442,58.945171,-2.127228,-6.844626,9.92847
1494.744019,57.818092,151.055588,-1.795008,-6.444024,9.788614
1490.417847,64.752815,244.291672,-2.034498,-4.969662,8.887778
1489.625366,76.336769,318.765778,-2.653291,-2.962277,6.229023
1480.135132,96.193413,382.757416,-3.907376,-0.236459,2.325797
1472.751587,104.75164,463.934052,-4.875016,1.837627,-1.194292
1479.65918,112.808617,543.191101,-3.599017,3.159531,-4.28553
1492.666138,114.585709,609.585327,-2.050605,3.53249,-7.462076
1498.528809,115.244133,688.881592,-0.78989,3.505733,-9.823953
2.193305,113.154305,780.576111,-0.008844,3.019172,-10.820064
1501.43335,113.365181,875.826111,-0.282836,2.766616,-10.143637
1495.526367,110.817238,994.476807,-1.0689,1.902871,-6.012504
1494.890259,99.435226,1119.968994,-1.302813,0.205129,-1.14895
1493.178223,87.638588,1227.483276,-1.528936,-0.653964,0.840258
1489.363403,69.985458,1342.998535,-2.215377,-3.40336,4.586978
1489.662231,57.189026,1460.80249,-2.384877,-6.01296,8.585104
1489.053101,174.183228,56.854805,-2.631643,-2.232585,9.619929
1491.611328,173.681259,153.003464,-2.662724,-2.297919,10.076458
1486.439453,171.75737,248.143921,-3.345762,-2.834856,9.649882
1483.659546,165.777878,328.058838,-4.245788,-3.371469,7.549973
1473.294556,173.098206,396.502991,-5.560147,-2.502905,4.319346
1459.347778,187.480011,472.700287,-7.494797,-0.141614,0.677317
1468.688477,204.413849,547.615173,-5.973609,2.941128,-3.090358
1489.10083,217.574936,616.666321,-3.273908,5.075645,-6.514908
1499.85376,228.231232,693.420349,-0.963233,6.357842,-9.621181
5.721714,223.97995,778.295105,0.408415,5.728719,-11.210799
2.507837,218.860626,875.282837,0.394912,4.777907,-10.688282
1498.153198,214.032578,986.283813,-0.388423,3.643373,-7.618231
1493.830078,201.668106,1105.829834,-1.202972,1.696611,-2.945014
1493.124023,194.702774,1219.53479,-1.475915,0.751993,0.11436
1491.957397,189.206787,1331.160156,-1.732156,0.041363,2.600004
1488.894653,178.206604,1452.435425,-2.374341,-1.644084,7.062137
1486.793335,282.301453,55.977448,-3.196911,-0.188619,9.405829
1486.520874,285.773285,148.938538,-3.64677,-0.0144,9.272141
1480.747314,273.235535,235.698532,-4.402741,-1.451669,8.029025
1480.664062,256.089386,321.111053,-4.830697,-3.67811,6.765775
1473.103027,252.934372,403.832062,-5.607813,-4.234914,5.283811
1463.646484,265.17337,494.982819,-6.80764,-2.487134,3.970439
1464.556396,288.263031,572.843506,-6.587048,1.145963,0.693486
1481.943604,314.169891,631.871582,-3.664217,4.850098,-4.080873
1498.135132,319.118073,695.758301,-0.871555,6.214345,-9.057423
8.5516,316.659668,771.803284,1.184781,6.065755,-12.13819
9.334795,311.476959,867.806763,1.6144,4.97262,-12.06909
4.263806,304.280518,977.509277,0.670325,3.6199,-9.135981
1496.283325,296.750366,1097.879761,-0.999785,2.326559,-4.374832
1490.844971,292.602386,1214.985229,-1.880646,1.372721,-0.709232
1490.028809,289.083466,1324.065186,-2.089422,0.94959,1.641007
1488.223877,281.405457,1446.932129,-2.741781,-0.205824,6.26915
1475.352661,392.058197,61.509224,-5.242368,1.973384,9.807381
1467.843018,393.085022,144.131958,-6.171162,2.140944,8.821909
1468.402466,379.408569,219.266998,-6.237186,0.771731,6.256194
1469.944336,365.835754,308.496674,-5.956502,-1.280898,4.82335
1470.394775,358.468323,404.40332,-5.720989,-2.721081,5.123188
1465.418091,357.371826,507.053314,-6.056967,-3.07516,6.0617
1465.979126,359.491058,594.518799,-5.341141,-1.772883,3.670395
1481.207764,380.745422,648.091309,-3.098939,1.151092,-1.741502
2.2198,390.966583,697.659485,-0.032259,2.778486,-7.972833
20.389221,397.957153,770.718079,2.780892,3.974103,-12.215581
23.778891,397.894135,863.023682,3.577234,3.816064,-13.113369
16.830559,396.610046,971.44928,2.213193,3.023497,-10.463093
1499.292969,396.717621,1094.789429,-0.997093,2.615987,-5.157042
1485.21936,395.425659,1212.12207,-3.057881,2.50923,-1.113949
1483.196045,393.007507,1318.06665,-3.320425,2.350968,0.829003
1482.202271,388.523346,1445.907227,-4.025215,1.596228,5.932172
1459.721436,486.273468,60.685032,-7.772214,2.665935,9.78453
1450.341797,483.902802,136.733231,-8.708718,2.633632,8.280531
1454.427368,482.731842,210.115692,-8.440088,2.271429,4.909827
1460.840576,478.419342,299.878143,-7.005188,1.390311,3.337232
1466.032471,467.890686,395.569611,-6.071554,-0.080983,3.506336
1472.477173,459.344452,495.01178,-5.123074,-1.512794,4.607412
1480.74292,448.392944,595.820923,-3.840492,-2.947361,4.696184
1493.525391,446.95813,662.079285,-1.575819,-2.706076,0.146023
11.542243,460.499268,712.829163,1.844155,-1.109527,-5.967979
24.57766,470.568573,780.395386,4.034657,0.056722,-10.816042
25.850822,475.008514,865.898254,4.079761,0.599233,-13.040586
10.068403,480.549286,976.292297,1.084161,1.371413,-10.278287
1482.108521,488.206329,1096.903931,-3.513431,2.660508,-4.701145
1466.127686,493.064972,1212.255981,-5.799778,3.680031,-0.971837
1463.236572,496.418854,1316.65332,-6.315198,3.874318,0.592433
1463.334351,493.318481,1444.794312,-6.760461,3.417487,5.839937
1446.160767,563.092346,53.651131,-9.75192,0.62657,9.066864
1438.270142,564.233398,140.151718,-10.642483,0.351034,8.217465
1442.661133,577.922546,213.480652,-9.963009,1.682459,5.044337
1455.006714,579.939209,292.912811,-7.858116,2.50419,2.465913
1464.972168,576.249634,387.476807,-6.19156,1.969081,2.240304
1475.148315,568.904846,487.84201,-4.851218,0.731815,3.229312
1481.817383,558.499695,584.340515,-3.712978,-1.092586,3.381608
1497.11084,545.853088,660.80365,-1.569765,-3.030611,0.080237
8.970319,547.455444,718.777832,0.907946,-3.146721,-5.818147
7.887092,545.866882,784.905823,1.387266,-2.921704,-10.362286
1500.718628,552.94281,872.493774,0.058786,-1.547773,-11.561585
1478.408081,564.949829,986.398865,-3.722641,0.704815,-8.117156
1452.322754,575.034729,1107.211548,-7.746868,2.646101,-2.839451
1442.886841,581.342651,1218.664429,-9.389418,3.628828,-0.117517
1443.974365,580.101929,1318.857178,-9.467137,3.474334,0.7265
1447.821167,576.759827,1435.067749,-9.091296,2.77681,4.524109
1447.246826,647.796326,48.627941,-8.861029,-1.120046,7.806817
1444.150269,645.162964,151.119324,-9.274137,-1.656886,9.246107
1446.482056,657.510437,225.550095,-8.972528,-0.159448,6.854899
1463.206421,676.241089,299.824982,-6.913965,2.529703,3.802134
1475.924072,684.80249,383.847443,-4.578339,4.191106,1.865413
1478.707153,673.737549,476.602478,-3.748122,2.667951,1.373012
1484.671021,660.084167,574.809998,-3.178799,0.197565,1.715414
1499.173706,647.623718,652.884705,-1.023512,-2.177448,-1.372013
5.801018,640.979065,711.122375,0.184518,-2.984986,-6.56931
1497.35144,638.167053,783.913757,-0.335197,-2.785281,-9.862082
1483.861938,649.701233,886.927856,-2.912621,-0.839861,-9.328732
1458.745117,663.734131,999.141052,-7.257097,1.244985,-5.837399
1433.227295,665.916504,1113.146973,-10.972887,2.140848,-1.711576
1420.039673,664.897766,1217.796875,-12.77172,2.085561,-0.06345
1423.012451,659.562378,1313.211426,-12.56969,1.199919,-0.004289
1437.674438,657.043579,1425.00061,-10.58928,0.664362,2.526907
1459.523682,750.201416,42.234558,-7.236568,0.01901,6.861067
1459.902954,745.785767,151.685913,-6.865123,-0.552939,9.506406
1463.027344,751.028076,242.457993,-6.098159,0.259039,8.774793
1480.57019,769.756897,318.51944,-3.749663,2.99051,6.358766
1496.790405,780.67749,385.74234,-1.151936,5.016304,2.664676
2.026999,779.59729,463.053497,0.165143,4.979853,-0.688614
4.150131,761.957397,557.91571,0.135273,1.92931,-1.211001
9.033512,742.618347,642.221069,0.70147,-1.581438,-3.101909
7.80385,736.650024,710.051147,0.65087,-2.28525,-6.656619
1495.035522,747.956787,792.865601,-0.932483,-0.868864,-8.497333
1475.87793,757.92334,898.194763,-4.573888,0.715297,-7.622088
1445.885254,758.508179,1001.36676,-9.295878,1.394355,-5.084323
1418.783813,754.91272,1106.960327,-13.121156,1.300132,-2.254988
1414.854248,747.174255,1211.400269,-13.908379,0.044404,-1.319888
1427.545166,745.262756,1312.662598,-12.248511,-0.633171,-0.475233
1445.360352,749.340393,1424.522827,-9.495391,-0.21004,2.51117
1467.404419,854.807495,45.330284,-6.26057,1.751177,7.453548
1476.052124,858.298889,152.441895,-4.749828,2.347604,9.869892
1485.408813,853.988159,248.972763,-2.870157,2.142539,10.116842
4.854022,856.960388,328.038635,0.21141,2.952012,8.048754
23.136044,863.957947,394.034912,3.086856,4.481097,4.000013
33.803436,876.858765,459.918549,5.114442,6.178432,-1.191408
31.653271,866.02594,538.271606,4.615993,3.771968,-4.578816
28.52228,840.047119,627.686523,3.582024,-0.299609,-5.471691
13.612385,830.612549,713.546814,1.593947,-2.030756,-6.575546
1492.108643,844.160522,804.24823,-1.842979,-0.643999,-7.151007
1464.970581,848.705444,898.085754,-6.294924,0.342043,-6.996978
1433.838379,844.633667,997.00415,-11.077777,0.469175,-5.264889
1411.875854,842.489075,1101.885254,-14.593656,-0.096009,-3.335657
1416.092163,840.257324,1207.791992,-13.73161,-0.820812,-2.073382
1430.915527,841.090759,1315.280396,-11.50661,-0.602403,-0.111521
1449.209595,845.877686,1430.062134,-8.899494,0.278925,3.381125
1474.974976,967.214417,53.557686,-4.729409,4.999631,8.859982
1492.25647,967.912292,150.55954,-2.222435,5.331984,9.919722
6.799748,956.163757,242.900177,0.561426,3.729267,9.71412
27.468592,946.917175,328.560822,3.984108,2.772831,8.619901
44.004669,951.086487,403.679199,7.045467,3.351824,5.034045
50.663528,961.610901,464.422943,8.523163,4.462096,-1.469637
43.171703,954.63031,522.768066,7.373264,3.060535,-6.823818
35.055294,935.281555,607.179016,5.401145,0.244024,-8.634895
14.282802,922.967712,713.433105,1.660036,-1.944048,-7.071433
1487.318481,928.220825,811.832336,-3.018523,-1.546657,-6.36528
1457.145508,933.541626,898.395569,-7.561471,-0.67819,-6.527607
1428.257935,935.300476,995.299194,-11.872742,-0.256027,-5.485957
1415.162231,934.179504,1101.36377,-14.159008,-0.63983,-3.654915
1421.135498,935.493896,1209.661743,-12.929587,-0.371908,-1.786536
1434.723511,944.545959,1320.2677,-10.804984,0.719374,0.65067
1453.387451,957.062744,1438.839355,-7.971014,2.895514,4.999091
1476.675171,1094.73584,56.663792,-4.550004,10.834862,9.686666
1497.363281,1093.890503,140.889099,-1.483858,10.711934,8.463856
15.392522,1072.550659,226.350662,2.176181,7.179782,7.318829
36.983299,1049.395386,322.311737,6.328285,3.54404,7.586477
55.958469,1045.826904,406.512115,9.667068,2.270474,4.738061
51.640602,1041.010498,463.018768,9.781096,1.18407,-1.706581
40.82946,1036.574219,516.299316,7.994764,0.627307,-7.777192
30.169765,1033.194946,595.480103,5.415869,-0.16839,-10.513767
7.037302,1024.75769,707.073792,0.980392,-1.467838,-8.061878
1479.764771,1017.268188,815.219727,-4.111959,-2.495305,-5.972491
1450.338135,1021.809692,904.679443,-8.598822,-1.881145,-5.624216
1425.276611,1031.722168,998.037415,-12.304103,-0.545262,-5.176746
1421.179688,1039.043579,1102.431763,-13.468583,0.605417,-3.465151
1426.708618,1048.154053,1220.005981,-12.398698,1.822975,-0.447048
1437.021973,1064.302246,1336.514648,-10.488213,4.656796,3.348934
1454.702271,1081.355103,1452.994751,-7.744272,8.113171,7.741537
1470.254395,1195.652222,64.486259,-6.038091,11.236224,10.706005
1485.341187,1200.605469,129.990585,-3.408981,11.269687,6.5311
7.556092,1181.369751,197.09407,1.135229,9.209075,2.553673
38.235695,1155.402588,302.67865,6.584143,4.739877,3.905778
64.457443,1137.452637,395.856201,11.423043,0.985517,2.494587
51.2883,1115.129028,454.709167,10.016698,-2.395057,-2.979886
32.100273,1109.940063,515.141968,6.842698,-2.839051,-8.137951
17.062027,1113.042236,595.761169,3.514059,-2.443239,-10.535709
1496.656494,1114.941772,698.306091,-0.370666,-2.411368,-9.185553
1471.758911,1104.736084,809.660583,-4.730276,-3.749923,-6.476649
1447.479858,1101.094116,913.088196,-8.888296,-4.134245,-4.484784
1430.679199,1113.579468,1012.417419,-11.703526,-2.558947,-3.060488
1425.092651,1130.958496,1115.963989,-12.789462,-0.20407,-1.409186
1428.199341,1145.714111,1234.279663,-12.255795,2.459631,2.159048
1437.790771,1164.27002,1353.487549,-10.926048,5.953073,6.992738
1454.698364,1181.557983,1470.126587,-8.565253,9.152147,11.198185
1462.007812,1254.311401,72.689316,-7.174902,4.891596,11.082101
1477.023315,1254.366455,124.074646,-4.683254,4.896252,5.778642
4.124711,1249.088623,177.717178,-0.026927,4.691524,0.226272
34.998009,1235.166504,280.085754,5.899553,2.537027,-0.441799
55.993382,1209.665039,368.413208,10.512842,-1.635828,-1.564521
46.85228,1191.010864,435.803986,9.177301,-4.298034,-5.381638
25.594112,1189.529541,512.624512,5.684587,-4.632247,-8.450383
11.407803,1195.753174,601.243408,2.631328,-3.459197,-9.637494
1499.528809,1200.935913,699.727661,0.004976,-2.709271,-9.242513
1478.969971,1195.332642,800.905945,-3.416115,-3.727816,-7.676106
1454.905884,1184.498169,914.144775,-7.51832,-5.224601,-4.213519
1440.894531,1188.066284,1027.821777,-9.978089,-4.560496,-0.995236
1440.164673,1200.200562,1134.987061,-10.351576,-2.937789,1.519125
1431.984009,1219.795044,1255.560181,-11.639767,-0.261866,6.03548
1433.209961,1236.45105,1374.114502,-11.674472,2.524698,10.679662
1447.480591,1248.377563,1486.354248,-9.82056,4.319955,13.944111
1452.976562,1285.761963,69.819328,-7.871024,-4.058362,10.979338
1472.225952,1281.603149,122.804695,-4.92746,-3.923637,5.596732
4.695951,1294.271118,177.897995,0.003523,-3.75007,-0.032232
26.992409,1300.92627,261.087677,4.586607,-2.864559,-3.152836
43.593288,1287.427734,352.286011,7.791107,-4.262227,-4.066079
41.278969,1287.252686,434.54892,7.226674,-4.544991,-6.16077
22.404047,1296.40686,519.530884,4.266261,-2.996049,-7.53793
10.026514,1305.977539,608.657349,2.104559,-1.442244,-8.366858
4.997235,1307.592285,698.815552,0.948302,-0.915491,-9.259022
1498.430786,1302.898682,791.350769,-0.738586,-1.422819,-9.218942
